BSSID,First Time Seen,Last Time Seen,Channel,Speed,Privacy,Cipher,Authentication,Power,#Beacons,#IV,LAN IP,ID-Length,ESSID,Key,Latitudine,Longitudine
8E:CD:58:32:9E:55,2023-05-10 04:29:47,2023-05-10 04:52:19,4,10,WPA2, ,PSK,-76, ,0,0.0.0.0,8,Tatarr28, ,43.542586,25.595436
88:10:8F:96:4B:E2,2023-05-10 03:01:37,2023-05-10 04:53:34,1,110,WPA2, ,PSK,-48, ,3,0.0.0.0,18,Orange Airbox-4BE2, ,43.542586,25.595436
60:E3:27:94:F7:6E,2023-05-10 04:53:56,2023-05-10 04:53:56,6,10,WPA2, ,PSK,-82, ,0,0.0.0.0,12,TP-LINK_F76E, ,43.542586,25.595436
04:18:D6:0E:F7:3B,2023-05-10 03:08:18,2023-05-10 04:54:18,36,60,Open, ,,-83, ,0,0.0.0.0,5,oscar, ,43.542586,25.595436
3C:67:A2:25:9E:E9,2023-05-10 03:33:46,2023-05-10 04:54:12,11,10,WPA2, ,PSK,-62, ,0,0.0.0.0,9,MIFI_9EE9, ,43.542586,25.595436
44:C3:46:D3:E9:43,2023-05-10 03:10:35,2023-05-10 04:56:58,5,10,WPA2, ,PSK,-62, ,0,0.0.0.0,14,HUAWEI P9 lite, ,43.542586,25.595436
16:30:3B:0C:5A:AB,2023-05-10 04:48:45,2023-05-10 04:56:48,6,10,WPA2, ,PSK,-54, ,0,0.0.0.0,22,Galaxy Tab S6 Lite860B, ,43.542586,25.595436
64:13:6C:0A:87:78,2023-05-10 03:01:49,2023-05-10 04:57:10,11,10,WPA2, ,PSK,-56, ,0,0.0.0.0,14,Telekom-204483, ,43.542586,25.595436
00:5F:67:3D:91:A9,2023-05-10 04:08:49,2023-05-10 04:58:12,36,60,WPA2, ,PSK,-82, ,0,0.0.0.0,19,KAV EXPEDITION_5GHz, ,43.542586,25.595436
CC:50:0A:8D:21:18,2023-05-10 03:01:06,2023-05-10 04:59:39,6,10,WPA2, ,PSK,-48, ,0,0.0.0.0,10,Exchange 1, ,43.542586,25.595436
46:EF:BF:D3:FB:59,2023-05-10 03:01:25,2023-05-10 04:59:34,11,60,WPA2, ,PSK,-63, ,0,0.0.0.0,29,DIRECT-Km-Pantum M6800 Series, ,43.542586,25.5954359999999
CC:50:0A:8E:1C:E8,2023-05-10 03:00:57,2023-05-10 05:00:28,5,10,WPA2, ,PSK,-36, ,3,0.0.0.0,10,Exchange 2, ,43.542586,25.5954359999998
F6:C2:48:18:CA:71,2023-05-10 03:01:05,2023-05-10 05:00:17,1,50,WPA2, ,PSK,-52, ,6,0.0.0.0,13,AndroidAPCA71, ,43.542586,25.595436
C4:6E:1F:57:EC:AF,2023-05-10 03:00:59,2023-05-10 05:00:54,161,240,WPA2, ,PSK,-60, ,1,0.0.0.0,12,RAPTOR666_5G, ,43.5425860000029,25.5954360000006
CA:3A:B7:31:67:5B,2023-05-10 03:01:00,2023-05-10 05:00:49,1,10,WPA2, ,PSK,-42, ,2,0.0.0.0,12,Redmi Note 9, ,43.542586,25.595436
04:18:D6:8E:BE:35,2023-05-10 03:01:01,2023-05-10 05:00:55,40,60,Open, ,,-75, ,34,0.0.0.0,6,oscar2, ,43.5425860000008,25.5954360000014
00:27:22:BA:EB:02,2023-05-10 03:01:01,2023-05-10 05:00:55,44,60,Open, ,,-73, ,0,0.0.0.0,5,speed, ,43.5425859999997,25.5954359999997
68:72:51:00:2D:66,2023-05-10 03:01:06,2023-05-10 05:00:50,40,60,Open, ,,-77, ,194,0.0.0.0,3,rio, ,43.5425859999996,25.5954360000004
C4:6E:1F:57:EC:B0,2023-05-10 03:01:10,2023-05-10 05:00:37,149,480,WPA2, ,PSK,-28, ,5550,0.0.0.0,11,RAPTOR666BG, ,43.5425859999995,25.5954359999996
E8:4F:25:71:5A:FC,2023-05-10 04:44:06,2023-05-10 05:00:55,6,240,WPA2, ,PSK,-34, ,8,0.0.0.0,16,MB Hotspot 67063, ,43.542586,25.595436
CE:50:E3:6C:0F:D7,2023-05-10 04:51:26,2023-05-10 05:00:49,2,10,WPA2, ,PSK,-40, ,0,0.0.0.0,17,WSM00000005281121, ,43.542586,25.595436
CE:5A:C7:28:B7:95,2023-05-10 04:52:36,2023-05-10 05:00:49,6,10,WPA3-TRANSITION, ,,-50, ,0,0.0.0.0,10,iPhone (2), ,43.542586,25.595436
46:99:C3:04:C2:82,2023-05-10 04:54:07,2023-05-10 05:00:38,5,10,WPA3-TRANSITION, ,,-56, ,0,0.0.0.0,17,4699C304C282, ,43.542586,25.595436
64:05:E4:5C:4F:6A,2023-05-10 04:54:49,2023-05-10 05:00:43,2,10,WPA2, ,PSK,-58, ,0,0.0.0.0,17,WSM00000005281121, ,43.542586,25.595436
